client_id,annual_income,ccavg_income_ratio,ccavg_spend,credit_card_with_bank,digital_user,dti_z,education_level,exp_age_gap,experience_years,family_size,has_invest_acct,has_personal_loan,income_per_person_z,mortgage_balance_z,online_banking,securities_acct,risk_grade
64,32,0.0,0.0,0,1,-0.5587100507954694,2,25,17,4,0,0,-0.871102449012044,-0.5555239265453629,1,0,A
65,105,0.0314285714285714,3.3,0,0,-0.5587100507954694,1,24,23,2,0,0,0.2561436715717389,-0.5555239265453629,0,0,D
66,131,0.0290076335877862,3.8,1,1,-0.5587100507954694,1,24,35,1,0,0,2.2446564910285245,-0.5555239265453629,1,0,C
67,105,0.0266666666666666,2.8,0,0,1.2712934404882992,1,26,36,2,0,0,0.2561436715717389,2.74819295450772,0,0,D
68,45,0.0444444444444444,2.0,0,0,1.118793149547985,3,30,23,4,1,0,-0.7887754851491835,0.7423648481540626,0,1,B
69,60,0.035,2.1,1,1,-0.5587100507954694,1,26,21,3,0,0,-0.5671259670568666,-0.5555239265453629,1,0,B
70,20,0.01,0.2,0,1,-0.5587100507954694,1,24,29,4,0,0,-0.9470965695008384,-0.5555239265453629,1,0,B
71,115,0.0304347826086956,3.5,1,1,-0.5587100507954694,1,24,18,1,0,0,1.839354515088288,-0.5555239265453629,0,0,D
72,69,0.0144927536231884,1.0,0,1,-0.5587100507954694,2,24,29,4,0,0,-0.6367872441715947,-0.5555239265453629,1,0,C
73,130,0.0384615384615384,5.0,1,1,-0.5587100507954694,1,24,20,1,0,0,2.2193251175322595,-0.5555239265453629,0,0,C
74,85,0.0470588235294117,4.0,1,1,-0.5587100507954694,3,25,16,1,0,0,1.0794133102003445,-0.5555239265453629,1,0,D
75,135,0.0244444444444444,3.3,1,1,-0.5587100507954694,1,25,3,2,0,0,0.6361142740157106,-0.5555239265453629,0,0,C
76,135,0.0281481481481481,3.8,1,1,-0.5587100507954694,2,24,7,4,1,1,-0.2188195814832258,-0.5555239265453629,1,0,D
77,12,0.0249999999999999,0.3,0,0,-0.5587100507954694,3,26,32,3,0,0,-0.9724279429971032,-0.5555239265453629,0,0,A
78,29,0.0172413793103448,0.5,0,0,-0.5587100507954694,2,26,20,3,0,0,-0.8288834931849361,-0.5555239265453629,0,0,A
79,133,0.0195488721804511,2.6,0,0,-0.5587100507954694,3,24,30,2,0,1,0.6107829005194458,-0.5555239265453629,0,0,D
80,19,0.0210526315789473,0.4,0,1,2.992941461893424,1,24,26,2,0,0,-0.8331053887676468,0.6047099781101841,1,0,A
81,41,0.0317073170731707,1.3,1,1,1.86827628673026,1,24,36,4,0,0,-0.8141068586454483,1.155329458285698,1,0,B
82,40,0.0675,2.7,0,1,-0.5587100507954694,2,25,22,3,0,0,-0.7360017903652984,-0.5555239265453629,1,0,B
83,82,0.048780487804878,4.0,0,1,-0.5587100507954694,3,25,16,1,0,0,1.00341918971155,-0.5555239265453629,1,0,D
84,50,0.048,2.4,0,0,-0.5587100507954694,2,24,9,1,0,0,0.1928152378310769,-0.5555239265453629,0,0,C
85,18,0.05,0.9,0,1,-0.5587100507954694,3,24,22,1,0,0,-0.6177887140493962,-0.5555239265453629,1,0,B
86,109,0.0165137614678899,1.8,0,0,-0.5587100507954694,3,25,2,4,0,0,-0.3834735092089469,-0.5555239265453629,0,0,D
87,42,0.0523809523809523,2.2,0,0,1.1569182222830636,2,24,16,4,0,0,-0.807774015271382,0.6833699038495432,0,0,B
88,78,0.0141025641025641,1.1,0,1,-0.5587100507954694,1,26,22,3,0,0,-0.4151377260792779,-0.5555239265453629,1,0,B
89,51,0.0215686274509803,1.1,0,1,-0.5587100507954694,1,24,41,2,0,0,-0.4278034128274103,-0.5555239265453629,1,0,B
90,113,0.0203539823008849,2.3,1,1,-0.5587100507954694,3,26,-1,4,0,0,-0.3581421357126821,-0.5555239265453629,0,0,D
91,118,0.047457627118644,5.6,0,1,-0.5587100507954694,2,25,30,4,0,1,-0.3264779188423511,-0.5555239265453629,1,0,D
92,29,0.0379310344827586,1.1,0,1,-0.5587100507954694,3,25,10,4,0,0,-0.8901009791342426,-0.5555239265453629,1,0,B
93,34,0.0176470588235294,0.6,0,0,-0.5587100507954694,2,24,19,3,0,0,-0.786664537357828,-0.5555239265453629,0,0,B
94,64,0.0265625,1.7,0,1,1.5500830348635608,3,26,34,2,1,0,-0.2631494851016892,1.7649438827657309,1,1,D
95,121,0.0165289256198347,2.0,0,0,-0.5587100507954694,1,26,39,1,0,0,1.9913427560658763,-0.5555239265453629,0,0,C
96,48,0.0041666666666666,0.2,0,1,-0.5587100507954694,3,26,12,4,0,0,-0.7697769550269848,-0.5555239265453629,1,0,B
97,80,0.065,5.2,0,0,-0.5587100507954694,1,26,15,1,0,0,0.9527564427190204,-0.5555239265453629,0,0,D
98,161,0.0180124223602484,2.9,0,1,-0.5587100507954694,1,26,28,1,0,0,3.004597695916468,-0.5555239265453629,1,0,C
99,94,0.0031914893617021,0.3,0,1,-0.5587100507954694,1,26,23,1,0,0,1.3073956716667274,-0.5555239265453629,1,0,C
100,15,0.0066666666666666,0.1,0,1,-0.5587100507954694,3,25,41,3,0,0,-0.9470965695008384,-0.5555239265453629,1,0,A
101,74,0.0162162162162162,1.2,0,1,-0.5587100507954694,1,25,23,1,0,0,0.8007682017414317,-0.5555239265453629,1,0,C
102,30,0.0433333333333333,1.3,0,0,-0.5587100507954694,2,25,36,3,0,0,-0.8204397020195144,-0.5555239265453629,0,0,A
103,44,0.0227272727272727,1.0,1,1,2.01473235882233,3,30,23,3,0,0,-0.7022266257036122,1.391309235503775,1,0,A
104,22,0.0136363636363636,0.3,0,1,-0.5587100507954694,2,25,18,2,0,0,-0.7951083285232496,-0.5555239265453629,1,0,A
105,38,0.0342105263157894,1.3,1,1,1.9394855047399384,1,24,32,4,0,0,-0.8331053887676468,1.076669532546339,1,0,B
106,35,0.0028571428571428,0.1,0,1,-0.5587100507954694,2,24,0,3,1,0,-0.7782207461924066,-0.5555239265453629,1,1,C
107,69,0.0420289855072463,2.9,1,1,-0.5587100507954694,1,26,17,4,0,0,-0.6367872441715947,-0.5555239265453629,1,0,D
108,43,0.0162790697674418,0.7,0,0,1.2500143301245343,1,24,18,1,0,0,0.0154956233572234,0.7816948110237422,0,0,A
109,32,0.01875,0.6,0,1,2.407897171402827,3,26,7,1,0,0,-0.2631494851016892,1.076669532546339,1,0,B
110,49,0.0571428571428571,2.8,0,1,-0.5587100507954694,1,26,17,1,0,0,0.1674838643348121,-0.5555239265453629,1,0,C
111,9,0.1111111111111111,1.0,0,0,-0.5587100507954694,2,27,14,3,0,0,-0.997759316493368,-0.5555239265453629,0,0,A
112,45,0.0288888888888888,1.3,0,1,-0.5587100507954694,2,24,38,4,0,0,-0.7887754851491835,-0.5555239265453629,1,0,B
113,82,0.0121951219512195,1.0,0,0,1.5962864385592732,1,25,15,3,0,0,-0.3813625614175915,2.482715705137383,0,0,C
114,92,0.0304347826086956,2.8,0,0,0.0815425293751425,1,24,34,2,0,0,0.0914897438460177,0.4572226173488857,0,0,D
115,39,0.0128205128205128,0.5,0,1,-0.5587100507954694,3,25,14,3,0,0,-0.74444558153072,-0.5555239265453629,1,0,A
116,81,0.0222222222222222,1.8,0,1,-0.5587100507954694,2,25,40,3,0,0,-0.3898063525830131,-0.5555239265453629,1,0,A
117,35,0.0428571428571428,1.5,0,1,-0.5587100507954694,2,25,29,1,0,0,-0.1871553646128948,-0.5555239265453629,1,0,C
118,61,0.0377049180327868,2.3,0,1,1.250668401139814,3,25,33,2,0,0,-0.3011465453460863,1.3421467819166757,1,0,C
119,73,0.0410958904109589,3.0,0,1,-0.5587100507954694,1,25,16,3,0,0,-0.4573566819063859,-0.5555239265453629,1,0,D
120,112,0.0410714285714285,4.6,0,0,1.3100993180936469,1,25,7,1,0,0,1.7633603945994936,3.043167676030317,0,0,D
121,12,0.0166666666666666,0.2,0,1,-0.5587100507954694,3,25,29,2,0,0,-0.9217651960045736,-0.5555239265453629,1,0,A
122,38,0.0236842105263157,0.9,0,1,-0.5587100507954694,3,26,26,3,0,0,-0.7528893726961418,-0.5555239265453629,1,0,A
123,73,0.0095890410958904,0.7,1,1,-0.5587100507954694,2,26,32,2,0,0,-0.1491583043684976,-0.5555239265453629,1,0,C
124,84,0.0428571428571428,3.6,0,0,-0.5587100507954694,2,24,13,1,1,0,1.0540819367040797,-0.5555239265453629,0,1,D
125,78,0.0307692307692307,2.4,0,1,0.3064358305005429,1,24,15,4,0,0,-0.579791653804999,0.6047099781101841,1,0,B
126,80,0.00625,0.5,0,1,-0.5587100507954694,1,25,35,3,0,0,-0.3982501437484347,-0.5555239265453629,1,0,A
127,115,0.0113043478260869,1.3,1,1,-0.0564536578072612,1,26,5,2,0,0,0.3828005390530627,0.4375576359140459,1,0,D
128,82,0.0329268292682926,2.7,0,1,1.1917887156383185,2,26,8,1,0,0,1.00341918971155,1.9124312435270288,1,0,C
129,74,0.0,0.0,0,1,-0.5587100507954694,1,24,14,2,1,0,-0.1364926176203652,-0.5555239265453629,1,1,A
130,70,0.0071428571428571,0.5,1,1,-0.5587100507954694,3,25,16,3,0,0,-0.4826880554026507,-0.5555239265453629,0,0,A
131,81,0.0185185185185185,1.5,0,1,1.3899047778863212,1,24,4,3,0,0,-0.3898063525830131,2.1582435114625267,1,0,B
132,149,0.0483221476510067,7.2,1,1,-0.5587100507954694,2,24,34,4,1,1,-0.130159774246299,-0.5555239265453629,1,0,D
133,51,0.034313725490196,1.75,0,0,-0.5587100507954694,3,30,1,2,0,0,-0.4278034128274103,-0.5555239265453629,0,0,A
134,39,0.0282051282051282,1.1,0,1,-0.5587100507954694,2,26,4,3,0,0,-0.74444558153072,-0.5555239265453629,1,0,A
135,98,0.0183673469387755,1.8,0,0,-0.5587100507954694,2,24,29,3,0,0,-0.246261902770846,-0.5555239265453629,0,0,D
136,45,0.0466666666666666,2.1,1,1,-0.5587100507954694,1,25,33,4,0,0,-0.7887754851491835,-0.5555239265453629,1,0,B
137,49,0.0510204081632653,2.5,0,1,-0.5587100507954694,2,27,32,4,0,0,-0.7634441116529187,-0.5555239265453629,1,0,A
138,128,0.003125,0.4,0,0,-0.5587100507954694,1,24,25,2,0,0,0.5474544667787838,-0.5555239265453629,0,0,C
139,42,0.0357142857142857,1.5,1,1,-0.5587100507954694,1,25,34,3,1,0,-0.7191142080344552,-0.5555239265453629,0,1,A
140,18,0.0666666666666666,1.2,0,1,-0.5587100507954694,3,24,35,1,0,0,-0.6177887140493962,-0.5555239265453629,1,0,B
141,31,0.0129032258064516,0.4,1,1,2.4113560993727434,3,26,25,2,0,0,-0.6811171477900582,1.027507078959239,1,0,A
142,58,0.0344827586206896,2.0,1,1,0.9104199071855732,1,24,11,3,0,0,-0.5840135493877098,0.9095171903502008,1,0,A
143,48,0.04375,2.1,1,1,-0.5587100507954694,3,24,9,1,0,0,0.1421524908385473,-0.5555239265453629,0,0,C
144,54,0.0296296296296296,1.6,1,1,-0.5587100507954694,1,24,1,4,0,0,-0.7317798947825876,-0.5555239265453629,1,0,A
145,70,0.0214285714285714,1.5,0,0,-0.5587100507954694,2,26,23,2,0,0,-0.1871553646128948,-0.5555239265453629,0,0,A
146,124,0.0596774193548387,7.4,1,1,-0.5587100507954694,1,24,35,1,0,0,2.067336876554671,-0.5555239265453629,0,0,C
147,84,0.0317857142857142,2.67,1,1,-0.5587100507954694,2,27,19,1,0,0,1.0540819367040797,-0.5555239265453629,1,0,C
148,83,0.0433734939759036,3.6,0,1,0.7366237457457524,3,25,25,4,0,0,-0.548127436934668,1.2929843283295763,1,0,D
149,163,0.0024539877300613,0.4,0,1,-0.1517307467523,1,24,28,2,0,0,0.9907535029634176,0.5850449966753443,1,0,C
150,42,0.0523809523809523,2.2,0,0,-0.5587100507954694,2,26,22,3,0,0,-0.7191142080344552,-0.5555239265453629,0,0,B
151,118,0.0635593220338983,7.5,1,1,-0.5587100507954694,1,24,22,2,1,0,0.4207975992974599,-0.5555239265453629,1,0,D
152,132,0.0492424242424242,6.5,1,1,-0.5587100507954694,3,26,0,3,0,1,0.0408269968534882,-0.5555239265453629,0,0,D
153,24,0.0541666666666666,1.3,1,1,-0.5587100507954694,1,25,32,1,0,0,-0.4658004730718074,-0.5555239265453629,1,0,A
154,22,0.0454545454545454,1.0,1,1,-0.5587100507954694,1,24,36,2,1,0,-0.7951083285232496,-0.5555239265453629,1,1,B
155,58,0.0224137931034482,1.3,0,0,-0.5587100507954694,3,25,29,4,0,0,-0.706448521286323,-0.5555239265453629,0,0,B
156,60,0.0266666666666666,1.6,0,1,-0.5587100507954694,1,24,0,4,0,0,-0.6937828345381906,-0.5555239265453629,1,0,A
157,15,0.0266666666666666,0.4,1,1,-0.5587100507954694,1,26,0,4,0,0,-0.9787607863711694,-0.5555239265453629,0,0,A
158,83,0.0321686746987951,2.67,1,1,-0.5587100507954694,1,24,17,4,0,0,-0.548127436934668,-0.5555239265453629,1,0,C
159,79,0.0189873417721519,1.5,1,1,-0.5587100507954694,3,26,6,2,0,0,-0.0731641838797033,-0.5555239265453629,1,0,B
160,41,0.0414634146341463,1.7,0,1,-0.5587100507954694,2,26,35,4,1,0,-0.8141068586454483,-0.5555239265453629,1,1,B
161,134,0.0485074626865671,6.5,0,0,-0.5587100507954694,3,29,0,4,0,1,-0.225152424857292,-0.5555239265453629,0,0,D
162,80,0.0349999999999999,2.8,0,1,-0.5587100507954694,1,26,35,2,0,0,-0.0604984971315709,-0.5555239265453629,1,0,C
163,52,0.0384615384615384,2.0,0,0,-0.5587100507954694,1,26,12,1,0,0,0.2434779848236065,-0.5555239265453629,0,0,C
164,70,0.0371428571428571,2.6,0,1,-0.5587100507954694,1,24,4,4,0,0,-0.6304544007975286,-0.5555239265453629,1,0,B
165,92,0.0119565217391304,1.1,0,0,-0.5587100507954694,1,26,27,2,1,0,0.0914897438460177,-0.5555239265453629,0,1,C
166,43,0.0348837209302325,1.5,0,1,-0.5587100507954694,1,26,1,1,0,0,0.0154956233572234,-0.5555239265453629,1,0,C
167,21,0.0476190476190476,1.0,0,0,-0.5587100507954694,2,24,1,3,0,0,-0.8964338225083088,-0.5555239265453629,0,0,C
168,23,0.0391304347826087,0.9,1,1,-0.5587100507954694,3,24,9,3,0,0,-0.8795462401774656,-0.5555239265453629,1,0,B
169,13,0.0769230769230769,1.0,0,1,-0.5587100507954694,1,24,26,4,0,0,-0.9914264731193018,-0.5555239265453629,1,0,A
170,112,0.01875,2.1,1,1,-0.5587100507954694,3,26,1,4,0,0,-0.3644749790867483,-0.5555239265453629,0,0,D
171,138,0.0144927536231884,2.0,0,1,-0.5587100507954694,1,26,1,2,0,0,0.6741113342601078,-0.5555239265453629,1,0,C
172,11,0.0363636363636363,0.4,0,0,-0.5587100507954694,1,24,28,3,1,0,-0.9808717341625248,-0.5555239265453629,0,1,A
173,171,0.0456140350877192,7.8,0,1,-0.5587100507954694,1,25,13,2,0,0,1.0920789969484768,-0.5555239265453629,1,0,C
174,42,0.0357142857142857,1.5,1,1,-0.5587100507954694,1,24,34,4,0,0,-0.807774015271382,-0.5555239265453629,1,0,B
175,168,0.0470238095238095,7.9,0,1,-0.5587100507954694,2,25,17,2,0,1,1.0540819367040797,-0.5555239265453629,1,0,D
176,85,0.0129411764705882,1.1,0,1,-0.5587100507954694,2,25,20,4,1,0,-0.5354617501865356,-0.5555239265453629,1,1,D
177,44,0.0227272727272727,1.0,0,1,1.1959097739439395,2,27,25,3,0,0,-0.7022266257036122,0.7718623203063222,1,0,A
178,65,0.0276923076923076,1.8,0,0,1.5880248139797206,2,26,3,4,0,0,-0.6621186176678595,1.84360380850509,0,0,C
179,24,0.0083333333333333,0.2,1,1,-0.5587100507954694,1,24,29,4,0,0,-0.9217651960045736,-0.5555239265453629,1,0,B
180,11,0.009090909090909,0.1,0,1,-0.5587100507954694,1,25,37,1,0,0,-0.7951083285232496,-0.5555239265453629,1,0,A
181,38,0.0263157894736842,1.0,0,1,1.9093867631069816,3,24,27,2,0,0,-0.5924573405531314,1.057004551111499,1,0,B
182,10,0.0699999999999999,0.7,0,0,4.0734862865165695,2,24,12,4,0,0,-1.0104250032415003,0.2409078215656482,0,0,B
183,135,0.0111111111111111,1.5,0,1,-0.5587100507954694,1,24,0,1,0,0,2.345981985013584,-0.5555239265453629,1,0,C
184,148,0.0277027027027027,4.1,0,1,-0.5587100507954694,1,26,3,3,0,1,0.1759276555002338,-0.5555239265453629,1,0,D
185,63,0.0238095238095238,1.5,0,1,-0.5587100507954694,2,26,26,2,1,0,-0.2758151718498215,-0.5555239265453629,1,1,C
186,115,0.008695652173913,1.0,0,1,-0.5587100507954694,3,25,14,1,0,0,1.839354515088288,-0.5555239265453629,1,0,D
187,45,0.0066666666666666,0.3,1,1,-0.5587100507954694,1,25,23,1,0,0,0.066158370349753,-0.5555239265453629,1,0,A
188,159,0.0119496855345911,1.9,0,1,0.5742520163318637,3,25,21,3,0,1,0.2688093583198713,2.541710649441902,1,0,D
189,169,0.0124260355029585,2.1,0,1,-0.1458764229540867,1,24,40,2,0,0,1.066747623452212,0.6440399409798636,1,0,C
190,112,0.0124999999999999,1.4,0,1,-0.5587100507954694,1,26,29,2,0,0,0.3448034788086656,-0.5555239265453629,1,0,D
191,93,0.0462365591397849,4.3,0,1,-0.5587100507954694,1,24,36,1,0,0,1.2820642981704626,-0.5555239265453629,1,0,D
192,29,0.0103448275862068,0.3,0,0,2.202071078296423,3,26,25,1,0,0,-0.3391436055904835,0.8210247738934217,0,0,B
193,85,0.0314117647058823,2.67,0,1,-0.5587100507954694,2,27,23,1,0,0,1.0794133102003445,-0.5555239265453629,1,0,C
194,21,0.0285714285714285,0.6,1,1,-0.5587100507954694,1,24,24,4,0,0,-0.9407637261267722,-0.5555239265453629,1,0,A
195,144,0.0472222222222222,6.8,0,1,-0.5587100507954694,1,24,29,2,0,0,0.7501054547489021,-0.5555239265453629,1,0,C
196,13,0.0769230769230769,1.0,0,1,3.620384460549675,1,24,10,4,1,0,-0.9914264731193018,0.3785626916095266,1,1,A
197,165,0.0303030303030303,5.0,1,1,-0.5587100507954694,1,24,24,1,0,0,3.105923189901527,-0.5555239265453629,0,0,C
198,9,0.0777777777777777,0.7,0,1,5.09650907157451,1,24,31,4,0,0,-1.0167578466155665,0.3195677473050073,1,0,A
199,59,0.0,0.0,0,1,0.3136433083970049,1,24,3,4,1,0,-0.7001156779122567,0.3294002380224272,1,1,A
200,158,0.0322784810126582,5.1,1,1,-0.5587100507954694,3,25,11,1,1,1,2.9286035754276734,-0.5555239265453629,1,0,D
201,29,0.0655172413793103,1.9,1,1,-0.5587100507954694,3,26,6,1,0,0,-0.3391436055904835,-0.5555239265453629,1,0,B
202,20,0.0699999999999999,1.4,1,1,-0.5587100507954694,3,26,9,2,0,0,-0.8204397020195144,-0.5555239265453629,1,0,B
203,68,0.0294117647058823,2.0,0,1,-0.5587100507954694,2,27,3,4,0,0,-0.643120087545661,-0.5555239265453629,1,0,A
204,65,0.0338461538461538,2.2,0,1,-0.5587100507954694,1,24,34,4,0,0,-0.6621186176678595,-0.5555239265453629,1,0,B
